Date,Pair,Direction,Entry,Exit,PnL
2026-06-01,BTCUSDT,Long,105000,106500,1500
2026-06-02,ETHUSDT,Short,2600,2550,500
2026-06-03,BTCUSDT,Long,106500,104500,-2000
2026-06-04,SOLUSDT,Long,140,150,1000
2026-06-05,ETHUSDT,Short,2500,2600,-1000
2026-06-06,BTCUSDT,Long,104000,107000,3000
2026-06-07,SOLUSDT,Short,155,145,1200
2026-06-08,BNBUSDT,Long,650,680,900
2026-06-09,BTCUSDT,Short,108000,107000,1000
2026-06-10,ETHUSDT,Long,2550,2620,700
2026-06-11,SOLUSDT,Long,148,142,-600
2026-06-12,BNBUSDT,Short,690,710,-800